working_area_id;department;working_area;temperature;atmo_pressure;humidity
1577;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,5;758;35,6
1578;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,5;759;36,3
1579;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,4;758;35,5
1580;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,2;759;36,1
1581;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,4;758;35,8
1582;Москва Автоколонна МКТ 4;Водитель-экспедитор;19;758;35,6
1583;Москва Автоколонна МКТ 4;Водитель-экспедитор;20;759;36,2
1584;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,4;759;36
1585;Москва Автоколонна МКТ 5;Водитель-экспедитор;20;759;35,6
1646;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,8;759;35,6
1647;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,7;758;35,8
1648;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,4;758;36,3
1649;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";20;758;35,9
1650;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19;759;35,5
1651;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,9;758;36,3
1652;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,2;758;36,1
1653;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,1;758;35,5
1654;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19;758;35,7
1655;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,2;758;36,3
1656;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,5;758;36,1
1657;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";20;759;36,4
1658;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,9;758;35,6
1659;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,3;758;36,2
1660;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,9;759;36,1
1661;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,3;758;36,1
1662;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,1;759;35,7
1663;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,5;758;36,4
1664;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,7;759;35,7
1665;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,8;759;35,9
1666;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19;759;35,7
1667;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,5;759;35,6
1668;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,2;759;35,8
1669;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,8;759;35,5
1670;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,7;758;35,8
1671;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,4;758;35,9
1672;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,5;758;35,7
1673;Москва Автоколонна 1;"Водитель категории ""Е""";19,8;758;36
1674;Москва Автоколонна 1;"Водитель категории ""Е""";19,6;759;36,1
1675;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";20;759;36,3
1676;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";19,9;759;36
1677;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";19,7;759;35,5
1678;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";19,3;758;36,1
1679;Москва Автоколонна 2;Кассир-операционист;19;758;36
1680;Москва Автоколонна 2;Делопроизводитель;19,3;758;36,2
1681;Транспортный отдел;Начальник отдела;19,4;758;35,5
1682;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,1;758;36,1
1683;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,7;759;36,3
1684;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,7;759;35,5
1685;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,7;758;35,8
1686;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;36,2
1687;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,4;758;36,1
1688;Москва Автоколонна МКТ 1;Водитель-экспедитор;19;759;36,1
1689;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,9;758;35,9
1690;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,4;759;36,2
1691;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,9;759;36
1692;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;35,6
1693;Москва Автоколонна МКТ 1;Водитель-экспедитор;19;759;36,4
1694;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,8;759;36,2
1695;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,9;759;36,2
1696;Москва Автоколонна МКТ 1;Водитель-экспедитор;20;758;35,5
1697;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,2;759;35,8
1698;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;758;35,6
1699;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;758;35,8
1700;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;36,4
1701;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,2;759;36
1702;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,2;759;35,5
1703;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;758;35,7
1704;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,2;758;35,9
1705;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,1;758;35,9
1706;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,1;758;35,8
1707;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,1;758;36,2
1708;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;36,2
1709;Москва Автоколонна МКТ 1;Водитель-экспедитор;20;758;36,3
1710;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,7;758;36
1711;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,4;758;35,6
1712;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;759;36,2
1713;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;759;36,1
1714;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,4;759;36,4
1715;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,4;758;36,1
1716;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,2;758;36,3
1717;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;35,9
1718;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,1;758;35,7
1719;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,8;759;35,9
1720;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,4;759;36,4
1721;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,7;759;35,9
1722;Москва Автоколонна МКТ 1;Водитель-экспедитор;20;758;36,1
1723;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,7;759;35,6
1724;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,3;759;35,7
1725;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;35,6
1727;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;759;36,3
1728;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,8;759;35,9
1729;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,4;758;36,1
1730;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,2;758;35,5
1731;Москва Автоколонна МКТ 1;Водитель-экспедитор;19;758;35,8
1732;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,2;759;35,7
1733;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,6;759;36
1734;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;759;35,8
1735;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,5;758;36,3
1736;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;35,6
1737;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,6;759;36,3
1738;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,6;759;35,9
1739;Москва Автоколонна МКТ 2;Водитель-экспедитор;20;759;36,4
1740;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,4;758;36,2
1741;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,5;759;35,7
1742;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,6;758;36,2
1743;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,2;759;35,9
1744;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,6;759;35,5
1745;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,7;758;36
1746;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,3;758;36,4
1747;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,6;758;35,9
1748;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,4;759;36,2
1749;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,8;759;36,1
1750;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,3;759;35,9
1751;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,5;759;36,1
1752;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,2;759;36
1753;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,9;759;35,8
1754;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,7;759;35,5
1755;Москва Автоколонна МКТ 2;Водитель-экспедитор;20;758;36,4
1756;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,8;758;35,5
1757;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,1;758;35,6
1758;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,1;759;35,8
1759;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,7;758;35,8
1760;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,2;759;35,9
1761;Москва Автоколонна МКТ 2;Водитель-экспедитор;19;758;35,9
1762;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,3;758;35,6
1763;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,7;759;35,8
1764;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,6;758;36,1
1765;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,7;758;36,3
1766;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,9;758;36,2
1767;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,2;759;35,5
1768;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,4;759;36,3
1769;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,9;759;35,6
1770;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,6;758;36,3
1771;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,7;759;36,1
1772;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,4;759;35,9
1773;Москва Автоколонна МКТ 2;Водитель-экспедитор;19;759;36,3
1774;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,9;759;35,7
1775;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,6;758;35,9
1776;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,2;759;36,4
1777;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,8;759;36,2
1778;Москва Автоколонна МКТ 2;Водитель-экспедитор;20;759;36
1779;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,9;758;36,1
1780;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,7;758;36,1
1781;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,2;759;35,6
1782;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,1;759;35,9
1783;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,9;758;36,2
1784;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,1;758;36
1785;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,2;758;35,6
1786;Москва Автоколонна МКТ 2;Водитель-экспедитор;19,3;758;35,9
1787;Мытищи Автоколонна МКТ 1;Начальник автоколонны;19,9;759;36
1788;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19,3;759;36
1789;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19,9;758;35,8
1790;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;35,6
1791;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19,7;758;36,3
1792;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19;759;36
1793;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19,9;759;36
1794;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19;758;36,3
1795;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;36,1
1796;Мытищи Автоколонна МКТ 1;Водитель-экспедитор;20;758;36
1797;Ногинск Автоколонна МКТ 1;Водитель-экспедитор;19,6;758;36,3
1798;Ногинск Автоколонна МКТ 1;Водитель-экспедитор;20;758;35,6
1799;Ногинск Автоколонна МКТ 1;Водитель-экспедитор;20;759;36,3
1800;Ногинск Автоколонна МКТ 1;Водитель-экспедитор;19,6;759;35,5
1801;Ногинск Автоколонна МКТ 1;Водитель-экспедитор;19,6;758;35,6
1802;Ногинск Автоколонна МКТ 1;Региональный менеджер по транспорту;19,3;758;36,3
1803;Одинцово Автоколонна МКТ 1  ;Начальник автоколонны;19,6;758;35,7
1804;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,1;758;35,7
1805;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,2;758;35,8
1806;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19;759;35,7
1807;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,2;759;35,7
1808;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,8;759;36,3
1809;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,5;759;35,6
1810;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,8;758;35,5
1811;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,7;759;36
1812;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,5;758;36,3
1813;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;20;758;35,7
1814;Одинцово Автоколонна МКТ 1  ;Водитель-экспедитор;19,6;758;36
1815;Подольск Автоколонна МКТ 1;Начальник автоколонны;19,2;758;35,5
1816;Подольск Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;36,4
1817;Подольск Автоколонна МКТ 1;Водитель-экспедитор;19,5;759;36,3
1818;Подольск Автоколонна МКТ 1;Водитель-экспедитор;19,5;759;36,3
1819;Подольск Автоколонна МКТ 1;Водитель-экспедитор;19,1;758;36
1820;Подольск Автоколонна МКТ 1;Водитель-экспедитор;19,4;759;36,2
1821;Пушкино Автоколонна МКТ 1 ;Водитель-экспедитор;19,7;759;36,4
1822;Пушкино Автоколонна МКТ 1 ;Водитель-экспедитор;19,3;759;35,7
1823;Сергиев Посад Автоколонна МКТ 1;Водитель-экспедитор;19,6;759;36,3
1824;Серпухов Автоколонна МКТ 1 ;Водитель-экспедитор;19,7;759;35,9
1825;Солнечногорск Автоколонна МКТ 1 ;Водитель-экспедитор;19,6;758;35,9
1826;Солнечногорск Автоколонна МКТ 1 ;Водитель-экспедитор;19,5;759;36,3
1827;Томилино Автоколонна МКТ 1;Начальник автоколонны;20;759;35,5
1828;Томилино Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;36,4
1829;Чехов Автоколонна МКТ 1;Водитель-экспедитор;19,1;759;36,3
1830;Чехов Автоколонна МКТ 1;Оператор информационной базы;20;759;36,1
1831;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,9;759;36
1832;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";20;759;36
1833;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,9;759;36,4
1834;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,7;759;36
1835;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,5;758;35,9
1836;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,4;758;36,2
1837;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,8;758;36,1
1838;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,3;759;35,5
1839;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,2;759;35,7
1840;Чехов Автоколонна МКТ 1;"Водитель категории ""Е""";19,7;759;35,6
1841;Чехов Автоколонна МКТ 1;"Водитель категории ""Е""";19,3;758;35,7
1842;Чехов Автоколонна МКТ 1;"Водитель категории ""Е""";19,9;759;35,7
1843;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,1;758;36,4
1844;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,8;758;36
1845;Чехов Автоколонна МКТ 1;"Бригадир водителей-экспедиторов категории ""Е""";19,9;758;35,6
1846;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19;759;35,8
1847;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19;759;36,3
1848;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,8;758;36,4
1849;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";20;759;35,9
1850;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,3;758;36,3
1851;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,7;758;35,8
1852;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,4;759;36,3
1853;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,8;758;36,2
1854;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,5;758;35,6
1855;Чехов Автоколонна МКТ 1;"Водитель-экспедитор категории ""Е""";19,5;758;36,3
1856;Пермь МКТ 1;Водитель-экспедитор ;19,1;758;36,1
1857;Пермь МКТ 1;Водитель-экспедитор ;19,3;759;36,3
1858;Пермь МКТ 1;Водитель-экспедитор ;19,7;759;35,6
1859;Пермь МКТ 1;Водитель-экспедитор ;19,7;759;35,8
1860;Пермь МКТ 1;Водитель-экспедитор ;19;759;36,2
1861;Сургут МКТ 1;Водитель-экспедитор ;19,5;758;35,9
1862;Сургут МКТ 1;Водитель-экспедитор ;19,3;759;36,4
1863;Сургут МКТ 1;Водитель-экспедитор ;19,3;759;35,7
1864;Сургут МКТ 1;Водитель-экспедитор ;19,6;758;36,3
1865;Челябинск Автоколонна 1;Инженер по безопасности дорожного движения;19,8;759;35,5
1866;Челябинск Автоколонна 1;Начальник автоколонны;19,4;759;35,8
1867;Челябинск Автоколонна 1;Механик автомобильной колонны;19,7;758;36,3
1868;Челябинск Автоколонна 1;Механик автомобильной колонны;19,2;758;36,3
1869;Челябинск Автоколонна 1;Диспетчер автоколонны;19,7;758;36,4
1870;Челябинск Автоколонна 1;"Водитель-экспедитор категории ""Е""";19;759;35,8
1871;Челябинск Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,6;758;36,1
1872;Челябинск Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,7;758;36,3
