working_area_id;department;working_area;noise_source;nature_of_noise;sound_lvl;max_sound_lvl;eq_sound_lvl
1637;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;80;0
1638;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;72;83;0
1639;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;83;0
1640;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;83;0
1641;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;80;0
1642;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;81;0
1643;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;80;0
1644;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;80;0
1645;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;82;0
1726;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1529;Балашиха Автоколонна МКТ 1;Начальник автоколонны;Производственное оборудование;Непостоянный широкополосный;73;82;0
1530;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1531;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1532;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1533;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;81;0
1534;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1535;Воскресенск Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;81;0
1536;Домодедово Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1537;Железнодорожный Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1538;Зеленоград Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1539;Клин Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;80;0
1540;Клин Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1541;Коломна Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;83;0
1542;Коломна Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1543;Коломна Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;83;0
1544;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1545;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1546;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1547;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1548;Отдел эксплуатации легкового автотранспорта;Водитель;Производственное оборудование;Непостоянный широкополосный;73;83;0
1549;Отдел эксплуатации легкового автотранспорта;Водитель;Производственное оборудование;Непостоянный широкополосный;72;83;0
1550;Отдел экспедирования;Водитель;Производственное оборудование;Непостоянный широкополосный;74;81;0
1551;Отдел экспедирования;Делопроизводитель;Производственное оборудование;Непостоянный широкополосный;74;83;0
1552;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;82;0
1553;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1554;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1555;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1556;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1557;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1558;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1559;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1560;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;80;0
1561;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1562;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;83;0
1563;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1564;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1565;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;81;0
1566;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;81;0
1567;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1568;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;82;0
1569;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;81;0
1570;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;80;0
1571;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1572;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1573;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;83;0
1574;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1575;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1576;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;83;0
1577;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1578;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;83;0
1579;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1580;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1581;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1582;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;83;0
1583;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;81;0
1584;Москва Автоколонна МКТ 4;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1585;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1646;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;83;0
1647;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;82;0
1648;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;80;0
1649;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;82;0
1650;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;83;0
1651;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;83;0
1652;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;80;0
1653;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;82;0
1654;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;81;0
1655;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;83;0
1656;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;83;0
1657;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;83;0
1658;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;82;0
1659;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;81;0
1660;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;81;0
1661;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;82;0
1662;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;83;0
1663;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;82;0
1664;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;72;80;0
1665;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;81;0
1666;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;81;0
1667;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;81;0
1668;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;81;0
1669;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;83;0
1670;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;80;0
1671;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;80;0
1672;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;72;83;0
1673;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;81;0
1674;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;80;0
1675;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;82;0
1676;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;80;0
1677;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;81;0
1678;Москва Автоколонна 2;"Водитель-экспедитор категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;80;0
1679;Москва Автоколонна 2;Кассир-операционист;Производственное оборудование;Непостоянный широкополосный;73;83;0
1680;Москва Автоколонна 2;Делопроизводитель;Производственное оборудование;Непостоянный широкополосный;74;83;0
1681;Транспортный отдел;Начальник отдела;Производственное оборудование;Непостоянный широкополосный;74;80;0
1682;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1683;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1684;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;80;0
1685;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;80;0
1686;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;83;0
1687;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;80;0
1688;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;83;0
1689;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;260;0
1690;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;82;0
1691;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;80;0
1692;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;80;0
1693;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;81;0
1694;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1695;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1696;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;81;0
1697;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;82;0
1698;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;81;0
1699;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;83;0
1700;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;81;0
1701;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1702;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;83;0
1703;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1704;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1705;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;83;0
1706;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1707;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1708;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;82;0
1709;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1710;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1711;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1712;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;83;0
1713;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1714;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1715;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;80;0
1716;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1717;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1718;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1719;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1720;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;81;0
1721;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;81;0
1722;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1723;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1724;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1725;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;81;0
1727;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;83;0
1728;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;83;0
1729;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1730;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1731;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1732;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1733;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;83;0
1734;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1735;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1736;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1737;Москва Автоколонна МКТ 1;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1738;Москва Автоколонна МКТ 2;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1739;Москва Автоколонна МКТ 2;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;80;0
1740;Москва Автоколонна МКТ 2;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
